"bowlername","bowling_avg"
"AndreRussell","18.23"
"YuzvendraChahal","20.20"
"HarshalPatel","20.35"
"RashidKhan","20.90"
"MohammedShami","20.97"
"AveshKhan","23.72"
"KagisoRabada","23.76"
"MoeenAli","23.86"
"AnrichNortje","24.77"
"UmranMalik","26.10"
"RaviBishnoi","26.27"
"KhaleelAhmed","26.43"
"ArshdeepSingh","27.11"
"JasonHolder","27.12"
"RavindraJadeja","27.41"
"VarunChakravarthy","27.48"
"HarpreetBrar","27.94"
"ShardulThakur","28.37"
"TrentBoult","28.81"
"SunilNarine","29.33"
"RahulChahar","30.37"
"AxarPatel","31.30"
"MohammedSiraj","31.85"
"RileyMeredith","32.21"
"GlennMaxwell","32.83"
"BhuvneshwarKumar","33.62"
"KrunalPandya","35.13"
"RavichandranAshwin","35.61"
"LalitYadav","36.90"
"WashingtonSundar","41.92"
"SandeepSharma","50.13"
"ChrisJordan","52.00"
