"batsmanname","total_runs","strike_rate"
"ShubmanGill","1851","139.07"
"FafduPlessis","1831","140.85"
"RuturajGaikwad","1593","137.68"
"KLRahul","1516","132.06"
"JosButtler","1509","146.93"
"ShikharDhawan","1392","128.77"
"ViratKohli","1385","127.06"
"SanjuSamson","1304","144.57"
"SuryakumarYadav","1225","160.55"
"GlennMaxwell","1214","161.44"
"NitishRana","1157","134.85"
"DavidWarner","1137","133.45"
"YashasviJaiswal","1132","152.15"
"IshanKishan","1113","131.56"
"RahulTripathi","1083","143.06"
"DevduttPadikkal","1048","125.66"
"RohitSharma","981","127.07"
"HardikPandya","960","130.43"
"VenkateshIyer","956","130.25"
"QuintondeKock","948","135.62"
"ShivamDube","937","145.95"
"MayankAgarwal","907","132.60"
"DavidMiller","864","137.58"
"ShimronHetmyer","854","157.27"
"WriddhimanSaha","819","119.39"
"PrithviShaw","815","153.20"
"AidenMarkram","775","131.36"
"AndreRussell","745","159.19"
"AbhishekSharma","745","136.45"
"NicholasPooran","729","157.11"
"MoeenAli","725","137.31"
"DeepakHooda","695","127.99"
"DineshKarthik","693","152.64"
"AmbatiRayudu","689","135.90"
"MarcusStoinis","645","145.27"
"ManishPandey","540","116.88"
"RavindraJadeja","533","137.73"
"KrunalPandya","514","118.98"
"MShahrukhKhan","426","134.81"
"RiyanParag","354","125.98"
