"batsmanname","total_runs","batting_avg"
"ShubmanGill","1851","40.24"
"FafduPlessis","1831","43.60"
"RuturajGaikwad","1593","37.93"
"KLRahul","1516","50.53"
"JosButtler","1509","41.92"
"ShikharDhawan","1392","39.77"
"ViratKohli","1385","33.78"
"SanjuSamson","1304","32.60"
"SuryakumarYadav","1225","35.00"
"GlennMaxwell","1214","34.69"
"NitishRana","1157","29.67"
"DavidWarner","1137","37.90"
"YashasviJaiswal","1132","34.30"
"IshanKishan","1113","30.08"
"RahulTripathi","1083","28.50"
"DevduttPadikkal","1048","26.20"
"RohitSharma","981","22.81"
"HardikPandya","960","30.97"
"VenkateshIyer","956","28.12"
"QuintondeKock","948","33.86"
"ShivamDube","937","32.31"
"MayankAgarwal","907","27.48"
"DavidMiller","864","43.20"
"ShimronHetmyer","854","40.67"
"WriddhimanSaha","819","23.40"
"PrithviShaw","815","25.47"
"AidenMarkram","775","32.29"
"AndreRussell","745","27.59"
"AbhishekSharma","745","24.83"
"NicholasPooran","729","24.30"
"MoeenAli","725","23.39"
"DeepakHooda","695","19.86"
"DineshKarthik","693","24.75"
"AmbatiRayudu","689","22.23"
"MarcusStoinis","645","26.88"
"ManishPandey","540","25.71"
"RavindraJadeja","533","31.35"
"KrunalPandya","514","17.72"
"MShahrukhKhan","426","20.29"
"RiyanParag","354","14.16"
