"batsmanname","boundary_percentage","total_runs","boundary_runs"
"FafduPlessis","61.00","1831","1108"
"ShubmanGill","58.00","1851","1080"
"JosButtler","69.00","1509","1040"
"RuturajGaikwad","61.00","1593","974"
"KLRahul","57.00","1516","868"
"ShikharDhawan","62.00","1392","864"
"SanjuSamson","65.00","1304","854"
"YashasviJaiswal","75.00","1132","844"
"SuryakumarYadav","68.00","1225","836"
"GlennMaxwell","69.00","1214","834"
"NitishRana","66.00","1157","762"
"ViratKohli","55.00","1385","758"
"DavidWarner","64.00","1137","730"
"IshanKishan","64.00","1113","714"
"RahulTripathi","63.00","1083","686"
"DevduttPadikkal","63.00","1048","664"
"RohitSharma","66.00","981","648"
"VenkateshIyer","62.00","956","596"
"PrithviShaw","71.00","815","576"
"DevonConway","62.00","924","576"
"ShivamDube","61.00","937","574"
"QuintondeKock","60.00","948","572"
"AndreRussell","76.00","745","564"
"MayankAgarwal","61.00","907","556"
"ShimronHetmyer","64.00","854","544"
"HardikPandya","56.00","960","536"
"LiamLivingstone","70.00","758","532"
"WriddhimanSaha","61.00","819","496"
"NicholasPooran","67.00","729","492"
"MoeenAli","67.00","725","484"
"DavidMiller","55.00","864","478"
"AbhishekSharma","63.00","745","466"
"TilakVarma","61.00","740","454"
"DineshKarthik","65.00","693","452"
"AmbatiRayudu","65.00","689","450"
"RishabhPant","61.00","722","442"
"MarcusStoinis","66.00","645","426"
"RinkuSingh","63.00","648","408"
"AidenMarkram","52.00","775","406"
"JiteshSharma","69.00","543","374"
"DeepakHooda","53.00","695","366"
"JonnyBairstow","70.00","463","324"
"JasonRoy","70.00","435","306"
"AxarPatel","59.00","505","296"
"CameronGreen","65.00","452","292"
"ShreyasIyer","50.00","576","288"
"PrabhsimranSingh","73.00","391","284"
"TimDavid","67.00","418","282"
"MSDhoni","63.00","450","282"
"RavindraJadeja","53.00","533","282"
"HeinrichKlaasen","62.00","448","278"
"SaiSudharsan","55.00","507","278"
"KyleMayers","76.00","365","276"
"RahulTewatia","60.00","459","276"
"AjinkyaRahane","59.00","467","276"
"MShahrukhKhan","64.00","426","272"
"ManishPandey","50.00","540","270"
"KrunalPandya","51.00","514","260"
"MitchellMarsh","65.00","379","246"
"RajatPatidar","61.00","404","246"
"KieronPollard","61.00","389","238"
"RashidKhan","74.00","304","224"
"VijayShankar","61.00","370","224"
"RobinUthappa","64.00","345","222"
"KaneWilliamson","50.00","416","208"
"RiyanParag","56.00","354","198"
"SamCurran","59.00","332","196"
"ABdeVilliers","60.00","313","188"
"MahipalLomror","58.00","315","184"
"BhanukaRajapaksa","64.00","277","178"
"AyushBadoni","52.00","340","178"
"RovmanPowell","68.00","257","176"
"AbdulSamad","60.00","284","170"
"EvinLewis","73.00","224","164"
"NehalWadhera","68.00","241","164"
"RavichandranAshwin","54.00","302","162"
"RahmanullahGurbaz","70.00","227","158"
"PhilSalt","72.00","218","156"
"ShahbazAhmed","49.00","320","156"
"ShardulThakur","61.00","238","146"
"LalitYadav","49.00","295","146"
"AbhinavManohar","63.00","222","140"
"RileeRossouw","64.00","209","134"
"ChrisGayle","68.00","193","132"
"AnujRawat","59.00","220","130"
"PatCummins","79.00","156","124"
"DewaldBrevis","76.00","161","122"
"SunilNarine","75.00","154","116"
"AtharvaTaide","62.00","186","116"
"HarryBrook","61.00","190","116"
"SureshRaina","66.00","160","106"
"MatthewWade","66.00","157","104"
"DhruvJurel","64.00","152","98"
"SamBillings","57.00","169","96"
"SrikarBharat","48.00","199","96"
"JasonHolder","61.00","155","94"
"AnmolpreetSingh","67.00","134","90"
"WashingtonSundar","45.00","192","86"
"MatthewShort","72.00","117","84"
"NarayanJagadeesan","62.00","129","80"
"SikandarRaza","55.00","139","76"
"HarpreetBrar","52.00","138","72"
"HarshalPatel","65.00","108","70"
"SarfarazKhan","49.00","144","70"
"AmanHakimKhan","59.00","115","68"
"EoinMorgan","51.00","133","68"
"PrerakMankad","66.00","97","64"
"JaydevUnadkat","57.00","109","62"
"AaronFinch","67.00","86","58"
"PriyamGarg","41.00","140","58"
"RahulChahar","62.00","91","56"
"SuyashPrabhudessai","55.00","102","56"
"SaurabhTiwary","45.00","115","52"
"HarpreetSingh","66.00","76","50"
"MananVohra","79.00","61","48"
"GlennPhillips","74.00","65","48"
"VivrantSharma","70.00","69","48"
"DwayneBravo","66.00","70","46"
"StevenSmith","39.00","118","46"
"ShashankSingh","64.00","69","44"
"UmeshYadav","59.00","74","44"
"KagisoRabada","66.00","61","40"
"BhuvneshwarKumar","40.00","100","40"
"RishiDhawan","67.00","57","38"
"RomarioShepherd","66.00","58","38"
"KrishnappaGowtham","63.00","60","38"
"KyleJamieson","58.00","65","38"
"ChrisMorris","57.00","67","38"
"HrithikShokeen","55.00","66","36"
"RipalPatel","45.00","80","36"
"ChrisLynn","69.00","49","34"
"OdeanSmith","67.00","51","34"
"WaninduHasaranga","47.00","72","34"
"KuldeepYadav","41.00","79","32"
"DushmanthaChameera","70.00","43","30"
"DwainePretorius","68.00","44","30"
"MandeepSingh","64.00","47","30"
"MohammedSiraj","59.00","51","30"
"MichaelBracewell","52.00","58","30"
"DavidWilley","53.00","53","28"
"MohammadNabi","71.00","34","24"
"AnrichNortje","63.00","38","24"
"TrentBoult","42.00","57","24"
"AveshKhan","81.00","27","22"
"DanielSams","50.00","44","22"
"MarcoJansen","46.00","48","22"
"ChrisJordan","45.00","49","22"
"ShivamMavi","71.00","28","20"
"VishnuVinod","54.00","37","20"
"KedarJadhav","34.00","58","20"
"DavidWiese","86.00","21","18"
"RamandeepSingh","40.00","45","18"
"ShakibAlHasan","38.00","47","18"
"UmranMalik","70.00","23","16"
"TimSeifert","62.00","26","16"
"AbishekPorel","48.00","33","16"
"ShreyasGopal","88.00","16","14"
"AkashDeep","82.00","17","14"
"MayankMarkande","67.00","21","14"
"AdilRashid","64.00","22","14"
"LockieFerguson","61.00","23","14"
"MohsinKhan","61.00","23","14"
"DasunShanaka","54.00","26","14"
"MuruganAshwin","52.00","27","14"
"JayantYadav","41.00","34","14"
"ChetanSakariya","60.00","20","12"
"AnukulRoy","52.00","23","12"
"MitchellSantner","50.00","24","12"
"ArshdeepSingh","48.00","25","12"
"JamesNeesham","39.00","31","12"
"SanvirSingh","91.00","11","10"
"MarkWood","91.00","11","10"
"AkealHosein","63.00","16","10"
"PiyushChawla","40.00","25","10"
"DawidMalan","38.00","26","10"
"SherfaneRutherford","30.00","33","10"
"ChrisWoakes","53.00","15","8"
"BenStokes","53.00","15","8"
"VarunChakravarthy","53.00","15","8"
"JhyeRichardson","53.00","15","8"
"PraveenDubey","50.00","16","8"
"Naveen-ul-Haq","50.00","16","8"
"JaspritBumrah","50.00","16","8"
"AmitMishra","42.00","19","8"
"TomCurran","38.00","21","8"
"BabaIndrajith","38.00","21","8"
"RassievanderDussen","36.00","22","8"
"TristanStubbs","30.00","27","8"
"MaheeshTheekshana","86.00","7","6"
"SeanAbbott","86.00","7","6"
"ObedMcCoy","75.00","8","6"
"MustafizurRahman","50.00","12","6"
"VijaykumarVyshak","46.00","13","6"
"ArjunTendulkar","46.00","13","6"
"AdamMilne","38.00","16","6"
"ArshadKhan","33.00","18","6"
"NathanEllis","32.00","19","6"
"SheldonJackson","26.00","23","6"
"MoisesHenriques","19.00","31","6"
"LittonDas","100.00","4","4"
"AbhijeetTomar","100.00","4","4"
"MukeshChoudhary","67.00","6","4"
"KaranSharma","57.00","7","4"
"RasikhSalam","57.00","7","4"
"SiddarthKaul","50.00","8","4"
"NoorAhmad","50.00","8","4"
"KumarKartikeya","44.00","9","4"
"KartikTyagi","44.00","9","4"
"JoeRoot","40.00","10","4"
"SandeepSharma","40.00","10","4"
"ViratSingh","36.00","11","4"
"RajBawa","36.00","11","4"
"AlzarriJoseph","33.00","12","4"
"FabianAllen","29.00","14","4"
"DanChristian","29.00","14","4"
"YashDhull","25.00","16","4"
"KarunNair","25.00","16","4"
"MohammedShami","22.00","18","4"
"JoshHazlewood","21.00","19","4"
"RaviBishnoi","19.00","21","4"
"DarylMitchell","12.00","33","4"
"HarbhajanSingh","0.00","4","0"
"GeorgeGarton","0.00","2","0"
"AbdulBasith","0.00","1","0"
"JasonBehrendorff","0.00","6","0"
"YuzvendraChahal","0.00","15","0"
"KuldipYadav","0","0","0"
"KuldeepSen","0","0","0"
"MukeshKumar","0.00","7","0"
"TymalMills","0","0","0"
"KarnSharma","0.00","3","0"
"TNatarajan","0","0","0"
"DarshanNalkande","0","0","0"
"YudhvirSingh","0.00","1","0"
"DhawalKulkarni","0","0","0"
"SachinBaby","0.00","7","0"
"JofraArcher","0.00","4","0"
"PrasidhKrishna","0.00","6","0"
"ShahbazNadeem","0","0","0"
"DeepakChahar","0.00","2","0"
"WayneParnell","0.00","2","0"
"IshantSharma","0.00","1","0"
"TabraizShamsi","0.00","2","0"
"YashDayal","0","0","0"
"SanjayYadav","0","0","0"
"MohitSharma","0","0","0"
"AdamZampa","0.00","10","0"
"NavdeepSaini","0.00","4","0"
"KMAsif","0","0","0"
"MohitRathee","0.00","1","0"
"KhaleelAhmed","0.00","1","0"
"VaibhavArora","0.00","8","0"
"JagadeeshaSuchith","0.00","2","0"
"TusharDeshpande","0","0","0"
"SimarjeetSingh","0.00","7","0"
"RileyMeredith","0","0","0"
"PradeepSangwan","0.00","2","0"
"FazalhaqFarooqi","0.00","3","0"
"SwapnilSingh","0.00","2","0"
"NathanCoulter-Nile","0.00","5","0"
"KamleshNagarkoti","0","0","0"
"MujeebUrRahman","0.00","1","0"
"HarshitRana","0.00","2","0"
"TimSouthee","0.00","5","0"
