"bowlername","total_balls","dot_ball_percentage"
"RashidKhan","1097","35.00"
"MohammedShami","1072","47.57"
"YuzvendraChahal","1043","34.61"
"SunilNarine","960","37.50"
"VarunChakravarthy","958","37.68"
"HarshalPatel","941","36.03"
"RavichandranAshwin","940","31.38"
"MohammedSiraj","918","47.71"
"TrentBoult","908","46.37"
"BhuvneshwarKumar","871","42.48"
"ArshdeepSingh","853","36.58"
"RaviBishnoi","843","35.23"
"RahulChahar","836","34.45"
"RavindraJadeja","816","32.84"
"AveshKhan","802","41.65"
"AxarPatel","792","35.23"
"ShardulThakur","775","36.13"
"KagisoRabada","744","43.41"
"KrunalPandya","679","34.76"
"JaspritBumrah","650","43.23"
"PrasidhKrishna","630","47.94"
"JasonHolder","611","32.41"
"KuldeepYadav","592","30.91"
"TNatarajan","576","29.69"
"KhaleelAhmed","571","43.61"
"AnrichNortje","556","41.19"
"WaninduHasaranga","552","37.86"
"MustafizurRahman","545","37.06"
"JoshHazlewood","543","44.01"
"SandeepSharma","537","38.55"
"LockieFerguson","512","40.63"
"DeepakChahar","504","40.67"
"UmranMalik","487","44.15"
"SamCurran","485","33.20"
"MaheeshTheekshana","480","30.83"
"MoeenAli","427","35.60"
"ChetanSakariya","426","35.45"
"DwayneBravo","408","35.05"
"UmeshYadav","402","46.02"
"HarpreetBrar","397","38.29"
"MarcoJansen","390","42.56"
"PiyushChawla","390","31.79"
"RileyMeredith","388","40.21"
"TusharDeshpande","377","39.79"
"AndreRussell","374","34.49"
"WashingtonSundar","370","30.81"
"ShahbazAhmed","336","26.19"
"HardikPandya","333","41.74"
"NathanEllis","330","32.73"
"ShivamMavi","325","43.08"
"AlzarriJoseph","324","39.81"
"TimSouthee","318","40.25"
"GlennMaxwell","302","35.43"
"JaydevUnadkat","300","34.33"
"MatheeshaPathirana","299","39.46"
"DanielSams","288","42.36"
"MayankMarkande","288","31.60"
"NoorAhmad","283","36.40"
"ChrisJordan","281","33.45"
"PatCummins","280","34.64"
"YashDayal","276","36.23"
"MukeshChoudhary","273","43.59"
"RahulTewatia","271","23.25"
"LalitYadav","270","30.74"
"MohitSharma","265","32.83"
"DushmanthaChameera","264","46.21"
"MuruganAshwin","264","34.47"
"MohsinKhan","258","50.39"
"JasonBehrendorff","252","36.51"
"ChrisMorris","246","36.99"
"SuyashSharma","234","35.47"
"KumarKartikeya","234","31.62"
"CameronGreen","228","38.60"
"IshantSharma","222","42.79"
"HrithikShokeen","204","40.20"
"JoshLittle","204","36.76"
"VaibhavArora","203","35.47"
"MitchellMarsh","193","31.61"
"YashThakur","191","36.65"
"MitchellSantner","186","34.95"
"MukeshKumar","186","34.95"
"SiddarthKaul","180","37.78"
"LiamLivingstone","180","23.89"
"AmitMishra","174","28.16"
"KartikTyagi","169","39.64"
"KuldeepSen","169","38.46"
"KrishnappaGowtham","168","42.86"
"KyleJamieson","168","41.67"
"Naveen-ul-Haq","168","40.48"
"MarcusStoinis","168","30.36"
"KieronPollard","163","28.83"
"ObedMcCoy","161","31.06"
"DavidWilley","156","41.03"
"RishiDhawan","156","33.97"
"ShakibAlHasan","156","32.05"
"AkashMadhwal","153","34.64"
"FazalhaqFarooqi","152","38.16"
"WayneParnell","151","37.09"
"AbhishekSharma","150","33.33"
"DwainePretorius","150","30.67"
"VijaykumarVyshak","144","27.78"
"AkashDeep","143","35.66"
"NathanCoulter-Nile","138","41.30"
"AkashSingh","138","38.41"
"HarshitRana","132","46.97"
"AdamZampa","132","30.30"
"KarnSharma","129","30.23"
"JayantYadav","126","41.27"
"JagadeeshaSuchith","126","40.48"
"DeepakHooda","126","29.37"
"JofraArcher","120","40.83"
"AidenMarkram","109","26.61"
"SimarjeetSingh","108","52.78"
"TymalMills","102","29.41"
"DanChristian","100","29.00"
"AdamMilne","99","40.40"
"KMAsif","97","30.93"
"MarkWood","96","50.00"
"BasilThampi","96","42.71"
"SaiKishore","96","28.13"
"NavdeepSaini","96","28.13"
"OdeanSmith","90","40.00"
"GeorgeGarton","90","35.56"
"AnukulRoy","90","34.44"
"FabianAllen","90","28.89"
"ArshadKhan","85","31.76"
"NitishRana","77","31.17"
"VenkateshIyer","75","22.67"
"JamesNeesham","72","36.11"
"LungiNgidi","72","34.72"
"SikandarRaza","72","27.78"
"TomCurran","68","27.94"
"ChrisWoakes","66","50.00"
"MichaelBracewell","66","39.39"
"JhyeRichardson","66","36.36"
"AndrewTye","66","36.36"
"MayankDagar","66","33.33"
"MahipalLomror","66","28.79"
"RiyanParag","61","16.39"
"MoisesHenriques","60","51.67"
"AdilRashid","60","33.33"
"ShreyasGopal","60","30.00"
"ArjunTendulkar","59","44.07"
"VijayShankar","57","33.33"
"DarshanNalkande","55","30.91"
"RomarioShepherd","54","42.59"
"PradeepSangwan","54","40.74"
"KuldipYadav","54","25.93"
"YudhvirSingh","48","52.08"
"MohammadNabi","48","27.08"
"HarbhajanSingh","42","45.24"
"KyleMayers","42","33.33"
"ShivamDube","42","19.05"
"RajvardhanHangargekar","36","38.89"
"RamandeepSingh","36","36.11"
"PrashantSolanki","36","33.33"
"SisandaMagala","36","16.67"
"GlennPhillips","30","33.33"
"NitishKumarReddy","30","33.33"
"VarunAaron","30","23.33"
"KulwantKhejroliya","26","26.92"
"ImranTahir","24","58.33"
"MatthewShort","24","45.83"
"MujeebUrRahman","24","41.67"
"IshanPorel","24","41.67"
"ShahbazNadeem","24","37.50"
"RasikhSalam","24","33.33"
"RaghavGoyal","24","29.17"
"SeanAbbott","24","29.17"
"DhawalKulkarni","24","29.17"
"AkealHosein","24","25.00"
"KamleshNagarkoti","24","25.00"
"DuanJansen","24","25.00"
"TabraizShamsi","24","8.33"
"TilakVarma","18","44.44"
"PraveenDubey","18","44.44"
"GurnoorBrar","18","38.89"
"LukmanMeriwala","18","33.33"
"JalajSaxena","18","27.78"
"RipalPatel","18","27.78"
"VivrantSharma","18","27.78"
"KaneRichardson","18","27.78"
"HimanshuSharma","18","22.22"
"RovmanPowell","18","22.22"
"DavidWiese","18","16.67"
"AyushBadoni","13","38.46"
"ReeceTopley","12","58.33"
"SanjayYadav","12","50.00"
"SandeepWarrier","12","50.00"
"MohitRathee","12","25.00"
"TristanStubbs","12","25.00"
"BenStokes","12","16.67"
"AbdulSamad","12","16.67"
"SwapnilSingh","12","16.67"
"JoeRoot","12","16.67"
"ShashankSingh","12","8.33"
"DarylMitchell","12","8.33"
"RohitSharma","7","0.00"
"ShreyasIyer","6","66.67"
"AmanHakimKhan","6","16.67"
"DewaldBrevis","3","33.33"
"YashasviJaiswal","1","0.00"
