"bowlername","economy_rate","total_runs_given"
"AndreRussell","10.29","638"
"ChrisJordan","10.17","468"
"RileyMeredith","9.56","612"
"ShardulThakur","9.46","1220"
"UmranMalik","9.35","757"
"JasonHolder","9.13","922"
"KagisoRabada","8.62","1069"
"ArshdeepSingh","8.59","1220"
"HarshalPatel","8.48","1323"
"SandeepSharma","8.45","752"
"AveshKhan","8.38","1115"
"AnrichNortje","8.35","768"
"KhaleelAhmed","8.35","793"
"WashingtonSundar","8.25","503"
"LalitYadav","8.20","369"
"MohammedSiraj","8.12","1242"
"TrentBoult","8.01","1210"
"MohammedShami","7.89","1405"
"GlennMaxwell","7.88","394"
"BhuvneshwarKumar","7.88","1143"
"YuzvendraChahal","7.71","1333"
"RaviBishnoi","7.69","1077"
"RahulChahar","7.65","1063"
"HarpreetBrar","7.62","503"
"VarunChakravarthy","7.60","1209"
"RavichandranAshwin","7.53","1175"
"KrunalPandya","7.46","843"
"RavindraJadeja","7.46","1014"
"RashidKhan","7.24","1317"
"AxarPatel","7.11","939"
"MoeenAli","7.06","501"
"SunilNarine","6.60","1056"
